緯度,経度,都道府県,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年
43.06416667,141.3469444,北海道,"5,671","5,667","5,659","5,648","5,635","5,612","5,589","5,562","5,530","5,506","5,488"
40.82444444,140.74,青森県,"1,473","1,470","1,463","1,455","1,444","1,433","1,420","1,405","1,392","1,380","1,370"
39.70361111,141.1525,岩手県,"1,412","1,409","1,403","1,396","1,389","1,380","1,370","1,359","1,346","1,335","1,325"
38.26888889,140.8719444,宮城県,"2,355","2,358","2,357","2,357","2,354","2,348","2,346","2,342","2,338","2,336","2,336"
39.71861111,140.1025,秋田県,"1,186","1,180","1,171","1,162","1,153","1,142","1,131","1,118","1,105","1,093","1,083"
38.24055556,140.3633333,山形県,"1,239","1,235","1,230","1,224","1,217","1,210","1,201","1,191","1,181","1,172","1,163"
37.75,140.4677778,福島県,"2,118","2,114","2,108","2,100","2,091","2,081","2,070","2,058","2,044","2,031","2,020"
36.34138889,140.4466667,茨城県,"2,955","2,956","2,952","2,950","2,945","2,938","2,936","2,934","2,929","2,929","2,929"
36.56583333,139.8836111,栃木県,"1,984","1,988","1,988","1,989","1,991","1,990","1,990","1,989","1,986","1,983","1,981"
36.39111111,139.0608333,群馬県,"1,996","1,998","1,997","1,997","1,994","1,989","1,987","1,983","1,979","1,976","1,972"
35.85694444,139.6488889,埼玉県,"6,875","6,910","6,929","6,953","6,968","6,974","6,997","7,020","7,044","7,074","7,105"
35.60472222,140.1233333,千葉県,"5,869","5,909","5,933","5,961","5,976","5,983","6,010","6,041","6,072","6,104","6,135"
35.68944444,139.6916667,東京都,"11,850","11,939","12,033","12,139","12,231","12,325","12,443","12,563","12,665","12,746","12,834"
35.44777778,139.6425,神奈川県,"8,391","8,473","8,528","8,589","8,638","8,676","8,727","8,786","8,833","8,880","8,921"
35.66388889,138.5683333,新潟県,"2,466","2,461","2,452","2,444","2,434","2,421","2,409","2,397","2,384","2,373","2,362"
36.65138889,138.1811111,富山県,"1,114","1,113","1,110","1,107","1,105","1,101","1,099","1,094","1,090","1,085","1,082"
37.90222222,139.0236111,石川県,"1,175","1,175","1,173","1,172","1,170","1,166","1,165","1,163","1,162","1,160","1,160"
36.69527778,137.2113889,福井県,819,819,818,816,814,811,808,805,801,798,795
36.59444444,136.6255556,山梨県,877,878,877,875,873,871,867,863,857,854,851
36.06527778,136.2219444,長野県,"2,182","2,185","2,180","2,176","2,171","2,161","2,155","2,147","2,138","2,129","2,123"
35.39111111,136.7222222,岐阜県,"2,081","2,081","2,079","2,077","2,074","2,070","2,066","2,061","2,056","2,049","2,043"
34.97694444,138.3830556,静岡県,"3,715","3,722","3,723","3,726","3,725","3,722","3,720","3,719","3,716","3,711","3,703"
35.18027778,136.9066667,愛知県,"6,933","6,973","7,007","7,038","7,070","7,104","7,140","7,180","7,213","7,234","7,247"
34.73027778,136.5086111,三重県,"1,833","1,836","1,834","1,834","1,835","1,833","1,832","1,833","1,830","1,826","1,822"
35.00444444,135.8683333,滋賀県,"1,324","1,334","1,341","1,347","1,354","1,358","1,365","1,372","1,379","1,384","1,389"
35.02138889,135.7555556,京都府,"2,599","2,603","2,602","2,603","2,603","2,601","2,601","2,598","2,596","2,594","2,593"
34.68638889,135.52,大阪府,"8,634","8,648","8,647","8,648","8,649","8,640","8,654","8,664","8,674","8,685","8,698"
34.69138889,135.1830556,兵庫県,"5,468","5,488","5,495","5,502","5,506","5,504","5,508","5,508","5,509","5,509","5,508"
34.68527778,135.8327778,奈良県,"1,434","1,433","1,428","1,425","1,420","1,412","1,408","1,403","1,398","1,395","1,391"
34.22611111,135.1675,和歌山県,"1,065","1,060","1,054","1,047","1,040","1,031","1,024","1,016","1,009","1,003",997
35.50361111,134.2383333,鳥取県,610,610,609,608,606,603,600,596,592,588,585
35.47222222,133.0505556,島根県,757,755,752,748,743,738,733,727,722,717,713
34.66166667,133.935,岡山県,"1,938","1,941","1,942","1,944","1,944","1,942","1,940","1,938","1,934","1,930","1,926"
34.39638889,132.4594444,広島県,"2,856","2,856","2,854","2,854","2,852","2,849","2,845","2,842","2,836","2,831","2,828"
34.18583333,131.4713889,山口県,"1,515","1,511","1,504","1,498","1,490","1,480","1,472","1,463","1,454","1,447","1,439"
34.06583333,134.5594444,徳島県,821,819,817,814,810,806,801,796,791,786,781
34.34027778,134.0433333,香川県,"1,018","1,017","1,014","1,013","1,010","1,006","1,003",999,996,992,989
33.84166667,132.7661111,愛媛県,"1,489","1,485","1,480","1,475","1,468","1,461","1,453","1,445","1,437","1,430","1,423"
33.55972222,133.5311111,高知県,812,810,807,803,799,793,787,780,772,766,761
33.60638889,130.4180556,福岡県,"4,985","4,998","5,005","5,009","5,013","5,011","5,018","5,021","5,021","5,024","5,031"
33.24944444,130.2988889,佐賀県,874,873,871,869,866,863,859,856,853,849,846
32.74472222,129.8736111,長崎県,"1,512","1,507","1,500","1,492","1,484","1,473","1,461","1,449","1,437","1,427","1,420"
32.78972222,130.7416667,熊本県,"1,855","1,855","1,852","1,847","1,842","1,836","1,831","1,824","1,819","1,813","1,810"
33.23805556,131.6125,大分県,"1,216","1,215","1,213","1,210","1,207","1,203","1,200","1,198","1,195","1,192","1,188"
31.91111111,131.4238889,宮崎県,"1,168","1,165","1,162","1,159","1,156","1,150","1,146","1,142","1,137","1,134","1,131"
31.56027778,130.5580556,鹿児島県,"1,783","1,778","1,772","1,766","1,758","1,748","1,739","1,728","1,716","1,707","1,701"
26.2125,127.6811111,沖縄県,"1,311","1,320","1,329","1,338","1,347","1,355","1,362","1,367","1,370","1,377","1,385"
